Registro_Ensina,Adaptação e Inovação_Auto,Capacidade de Execução_Auto,Colaboração e Parceria_Auto,Comunicação Empática_Auto,Desenvolvimento Contínuo_Auto,Visão Estratégica_Auto,Desenvolvimento Contínuo_Terc,Visão Estratégica_Terc,Colaboração e Parceria_Terc,Adaptação e Inovação_Terc,Capacidade de Execução_Terc,Comunicação Empática_Terc,Turma_Ensina,Polo_Ensina,Raça_Ensina,Gênero_Ensina,Grau Acadêmico_Ensina,Gap_Desenvolvimento Contínuo,Gap_Visão Estratégica,Gap_Colaboração e Parceria,Gap_Adaptação e Inovação,Gap_Capacidade de Execução,Gap_Comunicação Empática
240.013,0.35,0.86,0.09,0.48,0.68,0.08,0.6,0.66,0.75,0.69,0.88,0.82,2024,Petrolina,Preta,Mulher Cisgênero,Licenciatura,0.08,-0.58,-0.66,-0.34,-0.02,-0.34
240.156,0.74,0.17,0.18,0.42,0.46,0.08,0.72,0.75,0.72,0.75,0.72,0.66,2024,Vitória,Parda,Mulher Cisgênero,Bacharelado,-0.26,-0.67,-0.54,-0.01,-0.55,-0.24
240.06,0.29,0.46,0.43,0.71,0.49,0.42,0.38,0.29,0.42,0.32,0.38,0.34,2024,Caruaru,Preta,Mulher Cisgênero,Bacharelado,0.11,0.13,0.01,-0.03,0.08,0.37
250.129,0.36,0.09,0.74,0.54,0.34,0.66,0.96,0.81,0.97,0.81,0.81,0.94,2025,Vitória,Branca,Mulher Cisgênero,Bacharelado e Licenciatura,-0.62,-0.15,-0.23,-0.45,-0.72,-0.4
240.197,0.46,0.26,0.66,0.8,0.93,0.55,0.88,0.88,0.97,0.88,0.88,0.97,2024,Cuiabá,Branca,Mulher Cisgênero,Bacharelado e Licenciatura,0.05,-0.33,-0.31,-0.42,-0.62,-0.17
250.081,0.69,0.55,0.53,0.27,0.63,0.98,0.84,1.0,0.94,0.88,0.81,0.75,2025,Petrolina,Branca,Homem Cisgênero,Licenciatura,-0.21,-0.02,-0.41,-0.19,-0.26,-0.48
250.164,0.15,0.52,0.29,0.3,0.17,0.19,0.78,0.82,0.9,0.84,0.84,0.94,2025,Luziânia,Preta,Mulher Cisgênero,Bacharelado,-0.61,-0.63,-0.61,-0.69,-0.32,-0.64
240.141,0.59,0.52,0.03,0.89,0.74,0.62,1.0,1.0,1.0,1.0,1.0,1.0,2024,Cuiabá,Preta,Homem Cisgênero,Licenciatura,-0.26,-0.38,-0.97,-0.41,-0.48,-0.11
240.176,0.34,0.24,0.44,0.28,0.49,0.59,0.84,0.91,0.82,0.88,0.84,1.0,2024,Cuiabá,Prefiro não informar,Homem Cisgênero,Licenciatura,-0.35,-0.32,-0.38,-0.54,-0.6,-0.72
250.006,0.35,0.06,0.71,0.71,0.55,0.76,0.97,1.0,0.97,0.94,0.88,1.0,2025,Cuiabá,Parda,Homem Cisgênero,Bacharelado,-0.42,-0.24,-0.26,-0.59,-0.82,-0.29
240.099,0.71,0.73,0.94,0.87,0.94,0.97,0.88,0.88,0.75,1.0,0.81,0.81,2024,Cuiabá,Parda,Homem Cisgênero,Licenciatura,0.06,0.09,0.19,-0.29,-0.08,0.06
240.205,0.53,0.52,0.84,0.65,0.22,0.78,0.78,0.88,0.94,0.94,0.79,0.88,2024,Águas Lindas de Goiás,Parda,Homem Cisgênero,Bacharelado,-0.56,-0.1,-0.1,-0.41,-0.27,-0.23
240.006,0.52,0.7,0.3,0.38,0.22,0.27,0.72,0.84,0.84,0.9,0.94,0.84,2024,Caruaru,Parda,Homem Cisgênero,Licenciatura,-0.5,-0.57,-0.54,-0.38,-0.24,-0.46
240.17,0.79,0.92,0.88,0.63,0.13,0.68,0.81,0.75,0.94,0.94,0.88,0.97,2024,Vitória,Branca,Mulher Cisgênero,Licenciatura,-0.68,-0.07,-0.06,-0.15,0.04,-0.34
240.066,0.12,0.7,0.14,0.67,0.68,0.68,0.97,1.0,0.9,0.97,1.0,1.0,2024,Vitória,Preta,Mulher Cisgênero,Licenciatura,-0.29,-0.32,-0.76,-0.85,-0.3,-0.33
240.004,0.1,0.9,0.67,0.18,0.63,0.37,0.84,1.0,0.81,1.0,0.97,1.0,2024,Vitória,Sem Informação,Homem Cisgênero,Licenciatura,-0.21,-0.63,-0.14,-0.9,-0.07,-0.82
250.118,0.19,0.73,0.08,0.01,0.36,0.04,0.75,0.91,0.75,0.97,1.0,0.88,2025,Caruaru,Branca,Mulher Cisgênero,Licenciatura,-0.39,-0.87,-0.67,-0.78,-0.27,-0.87
250.084,0.86,0.09,0.4,0.74,0.36,0.71,0.6,0.66,0.62,0.66,0.6,0.91,2025,Vitória,Preta,Homem Cisgênero,Bacharelado,-0.24,0.05,-0.22,0.2,-0.51,-0.17
250.122,0.33,0.8,0.51,0.61,0.55,0.48,1.0,1.0,1.0,1.0,1.0,0.97,2025,Cuiabá,Branca,Mulher Cisgênero,Bacharelado e Licenciatura,-0.45,-0.52,-0.49,-0.67,-0.2,-0.36
240.087,0.56,0.17,0.25,0.37,0.17,0.45,0.72,0.84,0.66,0.88,0.68,0.9,2024,Vitória,Preta,Mulher Cisgênero,Bacharelado,-0.55,-0.39,-0.41,-0.32,-0.51,-0.53
240.055,0.18,0.02,0.12,0.06,0.86,0.83,0.66,0.81,0.82,0.84,0.72,0.78,2024,Campo Grande,Branca,Homem Cisgênero,Bacharelado,0.2,0.02,-0.7,-0.66,-0.7,-0.72
240.076,0.8,0.4,0.74,0.61,0.22,0.59,0.82,0.75,0.74,0.84,0.78,0.84,2024,Vitória,Branca,Homem Cisgênero,Bacharelado,-0.6,-0.16,0.0,-0.04,-0.38,-0.23
250.093,0.89,0.95,0.2,0.31,0.06,0.12,1.0,0.94,0.97,0.9,0.94,1.0,2025,Cuiabá,Branca,Mulher Cisgênero,Licenciatura,-0.94,-0.82,-0.77,-0.01,0.01,-0.69
240.149,0.31,0.26,0.68,0.33,0.43,0.72,0.84,0.97,1.0,0.9,0.94,1.0,2024,Caruaru,Preta,Mulher Cisgênero,Bacharelado,-0.41,-0.25,-0.32,-0.59,-0.68,-0.67
240.211,0.53,0.34,0.04,0.71,0.63,0.25,1.0,0.88,0.9,0.84,0.84,1.0,2024,Vitória,Prefiro não informar,Homem Cisgênero,Licenciatura,-0.37,-0.63,-0.86,-0.31,-0.5,-0.29
240.075,0.42,0.79,0.7,0.93,0.78,0.68,0.56,0.66,0.78,0.72,0.72,0.75,2024,Cuiabá,Branca,Mulher Cisgênero,Licenciatura,0.22,0.02,-0.08,-0.3,0.07,0.18
250.033,0.33,0.4,0.03,0.11,0.59,0.9,0.84,0.84,0.88,0.88,0.94,0.84,2025,Vitória,Branca,Mulher Cisgênero,Bacharelado,-0.25,0.06,-0.85,-0.55,-0.54,-0.73
250.071,0.38,0.55,0.83,0.24,0.68,0.25,0.96,0.9,0.96,0.84,0.94,0.94,2025,Vitória,Preta,Homem Cisgênero,Licenciatura,-0.28,-0.65,-0.13,-0.46,-0.39,-0.7
240.031,0.84,0.92,0.99,0.86,0.95,0.99,0.84,0.94,0.97,1.0,1.0,1.0,2024,Vitória,Parda,Mulher Cisgênero,Bacharelado,0.11,0.05,0.02,-0.16,-0.08,-0.14
250.011,0.17,0.09,0.23,0.34,0.49,0.74,0.82,0.88,0.68,0.84,0.81,0.9,2025,Petrolina,Preta,Homem Cisgênero,Bacharelado,-0.33,-0.14,-0.45,-0.67,-0.72,-0.56
250.017,0.4,0.55,0.17,0.06,0.06,0.12,1.0,1.0,1.0,1.0,1.0,1.0,2025,Cuiabá,Branca,Homem Cisgênero,Bacharelado,-0.94,-0.88,-0.83,-0.6,-0.45,-0.94
240.105,0.2,0.65,0.86,0.94,0.81,0.57,0.97,1.0,0.94,1.0,1.0,0.84,2024,Vitória,Branca,Homem Cisgênero,Licenciatura,-0.16,-0.43,-0.08,-0.8,-0.35,0.1
240.172,0.93,0.85,0.7,0.24,0.78,0.84,0.6,0.4,0.72,0.47,0.38,0.5,2024,Caruaru,Branca,Homem Cisgênero,Bacharelado,0.18,0.44,-0.02,0.46,0.47,-0.26
250.02,0.18,0.21,0.4,0.1,0.15,0.21,1.0,0.94,0.94,1.0,0.88,0.88,2025,Águas Lindas de Goiás,Parda,Mulher Cisgênero,Bacharelado,-0.85,-0.73,-0.54,-0.82,-0.67,-0.78
240.038,0.99,0.65,0.92,0.47,0.93,0.92,0.94,0.81,0.9,0.78,0.82,0.97,2024,Águas Lindas de Goiás,Prefiro não informar,Homem Cisgênero,Licenciatura,-0.01,0.11,0.02,0.21,-0.17,-0.5
250.055,0.9,0.13,0.53,0.53,0.36,0.02,0.97,0.94,0.94,0.97,0.88,0.97,2025,Vitória,Branca,Mulher Cisgênero,Bacharelado,-0.61,-0.92,-0.41,-0.07,-0.75,-0.44
240.102,0.93,0.65,0.98,0.98,0.9,0.92,0.82,0.81,0.88,0.84,0.91,0.82,2024,Campo Grande,Parda,Homem Cisgênero,Licenciatura,0.08,0.11,0.1,0.09,-0.26,0.16
240.132,0.05,0.09,0.09,0.03,0.09,0.2,0.97,1.0,0.97,0.9,0.97,0.94,2024,Vitória,Branca,Mulher Cisgênero,Bacharelado,-0.88,-0.8,-0.88,-0.85,-0.88,-0.91
250.152,0.76,0.46,0.96,0.47,0.88,0.92,0.84,0.88,0.84,0.68,0.88,0.84,2025,Petrolina,Branca,Mulher Cisgênero,Bacharelado,0.04,0.04,0.12,0.08,-0.42,-0.37
