Registro_Ensina,Turma_Ensina,Polo_Ensina,Raça_Ensina,Gênero_Ensina,Grau Acadêmico_Ensina,Função_Avaliador(a),Escola_Avaliador,Desenvolvimento Contínuo_Devolutiva,Desenvolvimento Contínuo_Diálogo,Desenvolvimento Contínuo_Compartilha,Desenvolvimento Contínuo_Referência,Visão Estratégica_Resultados,Visão Estratégica_Ajustar,Visão Estratégica_Coerência,Visão Estratégica_Conectar,Colaboração e Parceria_Abertura,Colaboração e Parceria_Engaja,Colaboração e Parceria_Ajuda,Colaboração e Parceria_Parceria,Adaptação e Inovação_Inovação,Adaptação e Inovação_Metodologia,Adaptação e Inovação_Revê,Adaptação e Inovação_Planejamento,Capacidade de Execução_Constância,Capacidade de Execução_Concreta,Capacidade de Execução_Padrões,Capacidade de Execução_Planos,Comunicação Empática_Expectativa,Comunicação Empática_Conflitos,Comunicação Empática_Sensibilidade,Comunicação Empática_Diálogo
250.072,2.025,Caruaru,Branca,Mulher Cisgênero,Licenciatura,Coordenador(a) Pedagógico(a),Escolas Reunidas Duque de Caxias,3,2,2,2,1,2,2,2,3,3,2,1,2,2,3,2,3,1,1,2,3,3,2,3
250.072,2.025,Caruaru,Branca,Mulher Cisgênero,Licenciatura,10_Consultor(a) pedagógico(a),Escolas Reunidas Duque de Caxias,2,,2,2,3,2,2,3,2,2,2,,4,3,3,3,3,2,2,3,2,3,3,3
240.085,2.024,Campo Grande,Branca,Mulher Cisgênero,Licenciatura,Diretor(a),EE José Mamede de Aquino,3,4,2,2,4,3,4,4,3,3,2,2,3,3,4,3,4,4,4,4,3,4,4,4
240.085,2.024,Campo Grande,Branca,Mulher Cisgênero,Licenciatura,12_Consultor(a) pedagógico(a),EE José Mamede de Aquino,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
240.087,2.024,Vitória,Preta,Mulher Cisgênero,Bacharelado,Diretor(a),EMEF Orlandina D’Almeida Lucas,2,3,3,3,3,3,3,4,2,4,2,3,4,4,3,3,3,2,3,2,4,3,3,3
240.087,2.024,Vitória,Preta,Mulher Cisgênero,Bacharelado,11_Consultor(a) pedagógico(a),EMEF Orlandina D’Almeida Lucas,3,4,2,,3,3,4,4,2,3,3,2,4,4,4,2,3,2,4,3,4,4,4,4
240.090,2.024,Vitória,Preta,Mulher Cisgênero,Licenciatura,Coordenador(a) Pedagógico(a),EMEF Prezideu Amorim,4,4,3,3,4,4,4,4,4,4,3,3,3,2,3,3,4,4,4,4,4,4,4,4
240.090,2.024,Vitória,Preta,Mulher Cisgênero,Licenciatura,6_Consultor(a) pedagógico(a),EMEF Prezideu Amorim,4,4,3,4,3,4,4,4,4,3,4,4,2,2,3,3,4,2,3,4,4,4,4,4
240.091,2.024,Petrolina,Parda,Mulher Cisgênero,Licenciatura,Diretor(a),Escola Municipal de Educação de Tempo Integral Mãe Vitória,3,3,4,3,3,3,4,3,3,3,3,4,3,4,2,4,3,4,3,3,3,2,4,4
240.091,2.024,Petrolina,Parda,Mulher Cisgênero,Licenciatura,2_Consultor(a) pedagógico(a),Escola Municipal de Educação de Tempo Integral Mãe Vitória,3,2,2,1,2,2,2,2,2,2,2,2,3,3,3,3,3,2,2,3,3,2,2,2
240.092,2.024,Caruaru,Branca,Mulher Cisgênero,Bacharelado e Licenciatura,Diretor(a),ETI Capitão João Velho,4,4,4,3,3,4,4,3,3,4,3,4,3,2,3,3,4,3,3,4,3,3,3,4
240.092,2.024,Caruaru,Branca,Mulher Cisgênero,Bacharelado e Licenciatura,10_Consultor(a) pedagógico(a),ETI Capitão João Velho,4,2,4,4,3,3,3,4,4,3,3,4,3,2,3,2,3,4,2,3,3,3,3,3
240.093,2.024,Vitória,Branca,Homem Cisgênero,Licenciatura,Diretor(a),EMEF Heloísa Abreu Júdice de Mattos,2,3,2,,2,2,1,2,,2,2,1,2,2,1,2,2,1,1,2,2,2,2,3
240.093,2.024,Vitória,Branca,Homem Cisgênero,Licenciatura,11_Consultor(a) pedagógico(a),EMEF Heloísa Abreu Júdice de Mattos,2,3,,1,2,2,2,4,3,,2,,1,1,2,2,2,1,1,2,1,3,4,3
240.097,2.024,Campo Grande,Branca,Homem Cisgênero,Bacharelado,Diretor(a),EE Padre José Scampini,3,4,3,3,3,2,4,4,4,4,3,3,4,2,2,3,4,4,4,3,3,3,2,3
240.097,2.024,Campo Grande,Branca,Homem Cisgênero,Bacharelado,12_Consultor(a) pedagógico(a),EE Padre José Scampini,3,3,3,2,3,3,3,2,3,4,4,3,2,3,3,3,3,3,4,4,4,3,4,3
250.079,2.025,Caruaru,Parda,Mulher Cisgênero,Licenciatura,Diretor(a),Escolas Reunidas Duque de Caxias,4,4,4,4,3,4,4,4,4,4,3,4,3,4,3,4,4,3,4,4,4,4,4,4
250.079,2.025,Caruaru,Parda,Mulher Cisgênero,Licenciatura,10_Consultor(a) pedagógico(a),Escolas Reunidas Duque de Caxias,4,2,2,2,3,3,3,4,4,2,2,,3,3,4,3,3,3,2,3,2,3,4,3
250.082,2.025,Petrolina,Branca,Homem Cisgênero,Bacharelado,Coordenador(a) Pedagógico(a),Escola Municipal Professor Nicolau Boscardin,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
250.082,2.025,Petrolina,Branca,Homem Cisgênero,Bacharelado,2_Consultor(a) pedagógico(a),Escola Municipal Professor Nicolau Boscardin,3,2,2,2,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,2,2,2,2
250.083,2.025,Cuiabá,Branca,Homem Cisgênero,Licenciatura,Coordenador(a) Pedagógico(a),EE Padre Firmo Pinto Duarte Filho,4,3,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,2,3,4
250.083,2.025,Cuiabá,Branca,Homem Cisgênero,Licenciatura,8_Consultor(a) pedagógico(a),EE Padre Firmo Pinto Duarte Filho,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4
240.101,2.024,Campo Grande,Parda,Homem Cisgênero,Bacharelado,Diretor(a),EE Prof. Henrique Ciryllo Corrêa,4,4,3,3,4,3,4,4,4,4,3,3,4,3,4,4,4,3,3,,,3,4,4
240.101,2.024,Campo Grande,Parda,Homem Cisgênero,Bacharelado,12_Consultor(a) pedagógico(a),EE Prof. Henrique Ciryllo Corrêa,3,3,3,3,3,3,3,3,3,4,2,2,2,3,3,4,4,3,2,3,3,3,4,3
250.084,2.025,Vitória,Preta,Homem Cisgênero,Bacharelado,Diretor(a),EMEF Prof. Maria Stella de Novaes,2,2,2,2,2,2,2,3,2,1,3,,2,2,2,3,2,2,2,2,3,4,4,4
250.084,2.025,Vitória,Preta,Homem Cisgênero,Bacharelado,1_Consultor(a) pedagógico(a),EMEF Prof. Maria Stella de Novaes,4,3,2,2,3,3,3,3,,3,3,3,3,3,3,3,3,2,3,3,4,4,3,3
240.105,2.024,Vitória,Branca,Homem Cisgênero,Licenciatura,Coordenador(a) Pedagógico(a),EMEF Prezideu Amorim,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
240.105,2.024,Vitória,Branca,Homem Cisgênero,Licenciatura,6_Consultor(a) pedagógico(a),EMEF Prezideu Amorim,4,3,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,3,2,2
250.086,2.025,Caruaru,Parda,Mulher Cisgênero,Bacharelado,Coordenador(a) Pedagógico(a),Escola Municipal Prefeito João Lyra Filho,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
250.086,2.025,Caruaru,Parda,Mulher Cisgênero,Bacharelado,10_Consultor(a) pedagógico(a),Escola Municipal Prefeito João Lyra Filho,4,3,2,2,3,3,3,4,4,4,3,3,4,4,4,3,4,4,3,3,3,3,4,3
240.103,2.024,Luziânia,Parda,Homem Cisgênero,Bacharelado,Coordenador(a) Pedagógico(a),Colégio Estadual Hélio Roriz,3,4,3,3,4,4,4,4,3,3,3,4,3,3,3,3,3,4,3,4,4,3,3,3
240.103,2.024,Luziânia,Parda,Homem Cisgênero,Bacharelado,9_Consultor(a) pedagógico(a),Colégio Estadual Hélio Roriz,4,4,2,3,4,3,3,4,3,4,3,2,2,3,4,4,3,3,4,3,3,3,2,3
240.104,2.024,Águas Lindas de Goiás,Parda,Homem Cisgênero,Bacharelado,Coordenador(a) Pedagógico(a),Colégio Estadual da Polícia Militar de Águas Lindas de Goiás,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
240.104,2.024,Águas Lindas de Goiás,Parda,Homem Cisgênero,Bacharelado,13_Consultor(a) pedagógico(a),Colégio Estadual da Polícia Militar de Águas Lindas de Goiás,4,4,3,4,4,3,4,4,4,4,3,,4,4,4,4,4,3,4,4,3,4,4,4
240.102,2.024,Campo Grande,Parda,Homem Cisgênero,Licenciatura,Diretor(a),Escola Estadual Prof. Maria de Lurdes Widal Roma,3,4,4,3,3,3,4,3,4,4,4,4,3,3,3,4,4,4,3,3,3,3,4,4
240.102,2.024,Campo Grande,Parda,Homem Cisgênero,Licenciatura,12_Consultor(a) pedagógico(a),Escola Estadual Prof. Maria de Lurdes Widal Roma,4,2,4,2,3,3,3,4,3,3,3,3,4,4,3,3,3,4,4,4,2,2,4,4
250.080,2.025,Águas Lindas de Goiás,Branca,Homem Cisgênero,Bacharelado,Diretor(a),Colégio Estadual Maria do Carmo Lima,2,2,3,1,2,2,1,,2,1,3,3,2,2,2,,2,3,2,2,,,,2
250.080,2.025,Águas Lindas de Goiás,Branca,Homem Cisgênero,Bacharelado,13_Consultor(a) pedagógico(a),Colégio Estadual Maria do Carmo Lima,2,2,,,,2,1,3,,,2,3,1,,,,1,2,2,1,1,2,2,2
250.081,2.025,Petrolina,Branca,Homem Cisgênero,Licenciatura,Vice-diretor(a),Escola Municipal Luiz de Souza,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
250.081,2.025,Petrolina,Branca,Homem Cisgênero,Licenciatura,2_Consultor(a) pedagógico(a),Escola Municipal Luiz de Souza,3,2,3,4,4,4,4,4,3,4,4,4,3,3,3,3,2,3,2,3,2,2,2,2
240.099,2.024,Cuiabá,Parda,Homem Cisgênero,Licenciatura,Coordenador(a) Pedagógico(a),EE Leônidas Antero de Matos,4,4,4,4,3,3,4,3,3,4,4,3,4,4,4,4,4,3,3,3,4,4,1,4
240.099,2.024,Cuiabá,Parda,Homem Cisgênero,Licenciatura,3_Consultor(a) pedagógico(a),EE Leônidas Antero de Matos,3,3,3,3,4,3,4,4,2,3,3,2,4,4,4,4,3,3,4,3,3,4,3,3
240.106,2.024,Águas Lindas de Goiás,Parda,Mulher Cisgênero,Licenciatura,Diretor(a),Colégio Estadual Princesa Daiana,4,4,,,4,4,4,4,4,4,4,4,,4,4,4,4,4,4,4,4,4,4,4
240.106,2.024,Águas Lindas de Goiás,Parda,Mulher Cisgênero,Licenciatura,13_Consultor(a) pedagógico(a),Colégio Estadual Princesa Daiana,3,3,,2,3,3,3,4,3,4,4,,2,3,2,4,4,2,3,2,3,2,4,4
250.089,2.025,Cuiabá,Parda,Mulher Cisgênero,Licenciatura,Coordenador(a) Pedagógico(a),EE Malik Didier Namer Zahafi,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
250.089,2.025,Cuiabá,Parda,Mulher Cisgênero,Licenciatura,8_Consultor(a) pedagógico(a),EE Malik Didier Namer Zahafi,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4
250.090,2.025,Luziânia,Branca,Mulher Cisgênero,Bacharelado,Diretor(a),Colégio Estadual Osvaldo da Costa Meireles (CEPI),4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4
250.090,2.025,Luziânia,Branca,Mulher Cisgênero,Bacharelado,9_Consultor(a) pedagógico(a),Colégio Estadual Osvaldo da Costa Meireles (CEPI),4,3,3,3,3,4,3,4,4,4,3,4,3,4,4,4,4,4,4,3,3,4,4,4
240.108,2.024,Vitória,Preta,Mulher Cisgênero,Licenciatura,Diretor(a),EMEF Neusa Nunes Gonçalves,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
240.108,2.024,Vitória,Preta,Mulher Cisgênero,Licenciatura,11_Consultor(a) pedagógico(a),EMEF Neusa Nunes Gonçalves,2,3,2,,2,2,3,4,4,4,4,4,4,3,3,4,3,4,2,3,3,4,4,3
250.076,2.025,Caruaru,Branca,Mulher Cisgênero,Licenciatura,Coordenador(a) Pedagógico(a),ETI Capitão João Velho,4,4,4,2,2,4,3,3,4,3,3,,,4,3,4,3,4,3,3,2,3,4,4
250.076,2.025,Caruaru,Branca,Mulher Cisgênero,Licenciatura,10_Consultor(a) pedagógico(a),ETI Capitão João Velho,4,2,2,2,2,2,2,3,4,3,,,3,3,3,3,3,4,2,2,2,3,3,3
250.087,2.025,Vitória,Branca,Mulher Cisgênero,Bacharelado,Diretor(a),EMEF Paulo Roberto Vieira Gomes,4,4,,,3,4,3,,4,4,4,,3,3,,,3,3,3,3,3,4,,4
250.087,2.025,Vitória,Branca,Mulher Cisgênero,Bacharelado,7_Consultor(a) pedagógico(a),EMEF Paulo Roberto Vieira Gomes,3,3,3,2,3,3,3,4,4,2,2,2,2,3,,3,3,2,4,4,4,3,4,4
250.091,2.025,Vitória,Branca,Homem Cisgênero,Bacharelado,Diretor(a),EMEF Izaura Marques da Silva,4,4,2,,,2,3,3,4,2,4,,,2,2,4,3,3,3,4,3,3,4,4
250.091,2.025,Vitória,Branca,Homem Cisgênero,Bacharelado,6_Consultor(a) pedagógico(a),EMEF Izaura Marques da Silva,3,,3,3,,,,,4,3,3,3,,,,,,3,,,2,2,4,
240.109,2.024,Vitória,Branca,Mulher Cisgênero,Bacharelado e Licenciatura,Coordenador(a) Pedagógico(a),EMEF Prezideu Amorim,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4
240.109,2.024,Vitória,Branca,Mulher Cisgênero,Bacharelado e Licenciatura,6_Consultor(a) pedagógico(a),EMEF Prezideu Amorim,4,3,2,4,4,3,4,4,4,3,3,4,3,4,4,4,4,4,4,4,3,3,4,4
250.093,2.025,Cuiabá,Branca,Mulher Cisgênero,Licenciatura,Coordenador(a) de Área,EE Prof. Rafael Rueda,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
250.093,2.025,Cuiabá,Branca,Mulher Cisgênero,Licenciatura,8_Consultor(a) pedagógico(a),EE Prof. Rafael Rueda,4,4,4,4,3,3,4,4,3,4,4,4,3,3,4,3,4,3,4,3,4,4,4,4
250.094,2.025,Vitória,Preta,Mulher Cisgênero,Licenciatura,Diretor(a),EMEF Paulo Roberto Vieira Gomes,3,2,3,,3,4,3,4,4,3,3,4,3,3,3,,3,4,4,4,2,2,,4
250.094,2.025,Vitória,Preta,Mulher Cisgênero,Licenciatura,7_Consultor(a) pedagógico(a),EMEF Paulo Roberto Vieira Gomes,1,2,2,1,2,2,2,3,2,1,2,1,2,1,2,2,3,2,3,3,3,2,3,2
240.115,2.024,Caruaru,Sem Informação,Mulher Cisgênero,Tecnólogo,Diretor(a),ETI Irmã Ceciliana Gross,4,3,,2,2,1,2,2,3,4,3,2,2,3,3,4,4,4,2,,2,3,4,4
240.115,2.024,Caruaru,Sem Informação,Mulher Cisgênero,Tecnólogo,10_Consultor(a) pedagógico(a),ETI Irmã Ceciliana Gross,4,3,2,2,3,2,4,4,4,4,2,4,4,4,3,2,3,4,4,3,4,3,4,4
240.121,2.024,Cuiabá,Branca,Mulher Cisgênero,Licenciatura,Coordenador(a) Pedagógico(a),EE Rodolfo Augusto T. Curvo,,3,4,,,,4,3,3,4,4,,4,4,,4,4,3,4,4,4,3,3,4
240.121,2.024,Cuiabá,Branca,Mulher Cisgênero,Licenciatura,3_Consultor(a) pedagógico(a),EE Rodolfo Augusto T. Curvo,3,4,2,4,4,4,4,4,2,3,3,3,4,4,4,4,4,4,4,3,4,4,4,4
250.099,2.025,Vitória,Branca,Mulher Cisgênero,Licenciatura,Diretor(a),EMEF João Bandeira (Prof.),4,4,3,4,4,4,4,3,4,3,3,3,4,4,3,4,3,4,4,3,4,4,,4
250.099,2.025,Vitória,Branca,Mulher Cisgênero,Licenciatura,7_Consultor(a) pedagógico(a),EMEF João Bandeira (Prof.),3,4,3,2,3,2,3,4,4,1,3,2,3,3,3,3,2,2,2,3,3,3,4,4
250.100,2.025,Petrolina,Parda,Mulher Cisgênero,Bacharelado,Diretor(a),Escola Municipal João Batista dos Santos,3,2,2,3,2,2,3,3,2,4,3,4,4,3,2,3,2,3,3,2,3,2,2,3
250.100,2.025,Petrolina,Parda,Mulher Cisgênero,Bacharelado,2_Consultor(a) pedagógico(a),Escola Municipal João Batista dos Santos,3,3,2,2,3,2,2,3,2,3,2,3,3,2,3,3,2,2,3,3,3,2,2,3
250.102,2.025,Águas Lindas de Goiás,Branca,Mulher Cisgênero,Licenciatura,Diretor(a),Colégio Estadual Ayrton Senna da Silva,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
250.102,2.025,Águas Lindas de Goiás,Branca,Mulher Cisgênero,Licenciatura,9_Consultor(a) pedagógico(a),Colégio Estadual Ayrton Senna da Silva,4,3,2,2,3,3,3,4,4,3,4,2,2,3,3,4,3,3,3,3,3,3,3,3
250.105,2.025,Cuiabá,Preta,Mulher Cisgênero,Licenciatura,Coordenador(a) Pedagógico(a),EE Juarez Rodrigues dos Anjos,3,3,3,3,3,3,4,4,3,2,3,3,3,3,3,3,3,3,3,3,3,2,4,4
250.105,2.025,Cuiabá,Preta,Mulher Cisgênero,Licenciatura,8_Consultor(a) pedagógico(a),EE Juarez Rodrigues dos Anjos,4,2,1,1,2,1,1,2,3,2,3,1,1,1,2,1,2,1,1,1,2,1,3,3
240.131,2.024,Campo Grande,Branca,Prefiro não informar,Licenciatura,Coordenador(a) Pedagógico(a),Escola Estadual Maria Constança B. Machado,3,2,1,2,2,2,3,3,1,1,1,1,3,3,3,2,3,3,3,3,4,1,2,3
240.131,2.024,Campo Grande,Branca,Prefiro não informar,Licenciatura,12_Consultor(a) pedagógico(a),Escola Estadual Maria Constança B. Machado,3,3,3,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,2,4,3
240.132,2.024,Vitória,Branca,Mulher Cisgênero,Bacharelado,Coordenador(a) Pedagógico(a),EMEF Prezideu Amorim,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
240.132,2.024,Vitória,Branca,Mulher Cisgênero,Bacharelado,6_Consultor(a) pedagógico(a),EMEF Prezideu Amorim,4,4,4,3,4,4,4,4,3,4,4,4,3,2,4,4,4,3,4,4,3,3,4,4
240.135,2.024,Caruaru,Branca,Mulher Cisgênero,Licenciatura,Coordenador(a) Pedagógico(a),Escolas Reunidas Duque de Caxias,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,,3,4,4,3,4,4
240.135,2.024,Caruaru,Branca,Mulher Cisgênero,Licenciatura,10_Consultor(a) pedagógico(a),Escolas Reunidas Duque de Caxias,4,3,2,3,3,3,3,4,4,4,2,3,4,4,3,3,4,4,3,3,3,3,3,3
250.109,2.025,Vitória,Preta,Homem Cisgênero,Licenciatura,Coordenador(a) Pedagógico(a),EMEF Maria José Costa Moraes,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
250.109,2.025,Vitória,Preta,Homem Cisgênero,Licenciatura,1_Consultor(a) pedagógico(a),EMEF Maria José Costa Moraes,3,3,,2,3,3,3,3,3,4,4,3,2,2,3,4,3,3,3,3,3,4,3,3
240.136,2.024,Petrolina,Parda,Homem Cisgênero,Bacharelado,Diretor(a),Escola Municipal Professora Eliete Araújo de Souza,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
240.136,2.024,Petrolina,Parda,Homem Cisgênero,Bacharelado,2_Consultor(a) pedagógico(a),Escola Municipal Professora Eliete Araújo de Souza,3,2,2,2,3,2,3,3,3,2,2,3,2,3,3,3,3,2,2,2,2,3,2,3
250.178,2.025,Petrolina,Branca,Homem Cisgênero,Bacharelado,Coordenador(a) Pedagógico(a),Escola Municipal Professor Nicolau Boscardin,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
250.178,2.025,Petrolina,Branca,Homem Cisgênero,Bacharelado,2_Consultor(a) pedagógico(a),Escola Municipal Professor Nicolau Boscardin,3,4,4,4,4,2,2,2,3,4,4,4,2,4,2,2,2,2,3,2,3,3,3,4
250.112,2.025,Luziânia,Branca,Homem Cisgênero,Sem Informação,Diretor(a),Colégio Estadual Maria Abadia Salomão,3,4,4,4,3,4,4,4,3,3,4,4,4,3,3,4,3,4,4,3,4,3,4,4
250.112,2.025,Luziânia,Branca,Homem Cisgênero,Sem Informação,9_Consultor(a) pedagógico(a),Colégio Estadual Maria Abadia Salomão,2,3,2,2,2,2,2,3,2,3,2,1,3,2,2,3,2,1,2,2,1,2,2,1
240.141,2.024,Cuiabá,Preta,Homem Cisgênero,Licenciatura,Coordenador(a) Pedagógico(a),EE José de Mesquita,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
240.141,2.024,Cuiabá,Preta,Homem Cisgênero,Licenciatura,3_Consultor(a) pedagógico(a),EE José de Mesquita,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
240.143,2.024,Petrolina,Preta,Mulher Cisgênero,Bacharelado,Diretor(a),Escola Municipal Nossa Senhora Rainha dos Anjos - CAIC,3,4,3,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,3,4,3
240.143,2.024,Petrolina,Preta,Mulher Cisgênero,Bacharelado,2_Consultor(a) pedagógico(a),Escola Municipal Nossa Senhora Rainha dos Anjos - CAIC,4,3,4,4,4,3,3,4,4,4,4,4,4,4,4,4,3,2,3,4,4,2,2,3
250.113,2.025,Águas Lindas de Goiás,Branca,Mulher Cisgênero,Tecnólogo (CST),Coordenador(a) Pedagógico(a),Colégio Estadual Ayrton Senna da Silva,2,4,2,2,4,4,2,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4
250.113,2.025,Águas Lindas de Goiás,Branca,Mulher Cisgênero,Tecnólogo (CST),9_Consultor(a) pedagógico(a),Colégio Estadual Ayrton Senna da Silva,4,3,2,3,3,3,3,4,4,4,4,2,2,3,3,4,3,3,3,3,4,4,3,4
250.115,2.025,Luziânia,Preta,Mulher Cisgênero,Bacharelado,Diretor(a),Colégio Estadual Osvaldo da Costa Meireles (CEPI),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
250.115,2.025,Luziânia,Preta,Mulher Cisgênero,Bacharelado,9_Consultor(a) pedagógico(a),Colégio Estadual Osvaldo da Costa Meireles (CEPI),4,3,3,4,3,4,3,4,4,4,4,4,3,4,4,4,3,4,3,3,3,4,4,4
250.116,2.025,Petrolina,Parda,Mulher Cisgênero,Tecnólogo (CST),Diretor(a),Escola Municipal Nossa Senhora Rainha dos Anjos - CAIC,3,3,3,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3
250.116,2.025,Petrolina,Parda,Mulher Cisgênero,Tecnólogo (CST),2_Consultor(a) pedagógico(a),Escola Municipal Nossa Senhora Rainha dos Anjos - CAIC,3,3,2,2,2,2,3,2,1,2,1,1,2,2,3,3,3,3,2,,3,3,3,3
250.118,2.025,Caruaru,Branca,Mulher Cisgênero,Licenciatura,Coordenador(a) Pedagógico(a),ETI Irmã Ceciliana Gross,4,4,2,2,3,4,4,4,4,4,3,2,4,4,4,4,4,4,4,4,3,4,4,4
250.118,2.025,Caruaru,Branca,Mulher Cisgênero,Licenciatura,10_Consultor(a) pedagógico(a),ETI Irmã Ceciliana Gross,4,4,2,2,4,3,3,4,3,4,2,2,4,4,4,3,4,4,4,4,3,3,3,4
240.146,2.024,Caruaru,Parda,Mulher Transsexual,Licenciatura,Diretor(a),Escolas Reunidas Duque de Caxias,4,3,3,3,3,3,4,4,3,3,3,4,3,3,4,4,4,4,4,4,4,3,4,4
240.146,2.024,Caruaru,Parda,Mulher Transsexual,Licenciatura,10_Consultor(a) pedagógico(a),Escolas Reunidas Duque de Caxias,1,2,2,2,2,1,2,3,2,1,,,2,2,4,3,4,4,2,2,2,3,3,2
240.150,2.024,Campo Grande,Branca,Mulher Cisgênero,Bacharelado,Diretor(a),EE Teotônio Vilela,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
240.150,2.024,Campo Grande,Branca,Mulher Cisgênero,Bacharelado,12_Consultor(a) pedagógico(a),EE Teotônio Vilela,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
240.151,2.024,Campo Grande,Preta,Mulher Cisgênero,Bacharelado,Diretor(a),Escola Estadual Prof. Maria de Lurdes Widal Roma,2,2,1,1,2,2,1,2,2,3,3,1,1,2,2,3,2,3,3,2,2,2,2,3
240.151,2.024,Campo Grande,Preta,Mulher Cisgênero,Bacharelado,12_Consultor(a) pedagógico(a),Escola Estadual Prof. Maria de Lurdes Widal Roma,1,2,1,1,2,2,2,3,2,3,2,2,3,3,2,3,2,1,2,3,3,2,4,4
250.121,2.025,Caruaru,Branca,Mulher Cisgênero,Bacharelado,Diretor(a),ETI Capitão João Velho,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4
250.121,2.025,Caruaru,Branca,Mulher Cisgênero,Bacharelado,10_Consultor(a) pedagógico(a),ETI Capitão João Velho,4,2,2,2,3,2,3,4,4,3,3,,3,3,3,3,3,4,2,4,2,4,4,3
240.149,2.024,Caruaru,Preta,Mulher Cisgênero,Bacharelado,Diretor(a),ETI Capitão João Velho,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
240.149,2.024,Caruaru,Preta,Mulher Cisgênero,Bacharelado,10_Consultor(a) pedagógico(a),ETI Capitão João Velho,4,4,1,2,4,3,4,4,4,4,4,4,3,3,3,4,4,3,3,4,4,4,4,4
240.155,2.024,Vitória,Parda,Mulher Cisgênero,Bacharelado,Diretor(a),EMEF Neusa Nunes Gonçalves,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
240.155,2.024,Vitória,Parda,Mulher Cisgênero,Bacharelado,1_Consultor(a) pedagógico(a),EMEF Prof. Maria Stella de Novaes,3,3,2,2,3,3,3,4,3,4,3,3,3,3,3,4,3,3,3,3,3,3,3,2
250.122,2.025,Cuiabá,Branca,Mulher Cisgênero,Bacharelado e Licenciatura,Coordenador(a) Pedagógico(a),Outros,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
250.122,2.025,Cuiabá,Branca,Mulher Cisgênero,Bacharelado e Licenciatura,3_Consultor(a) pedagógico(a),Outros,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4
240.156,2.024,Vitória,Parda,Mulher Cisgênero,Bacharelado,Coordenador(a) Pedagógico(a),EMEF Rita de Cássia Oliveira,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,3,4,4
